timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
1,-0.004999969,-0.5,-0.35676906,0.0201,10.0,488.875,0.0,37.0,3911.0,376.0,1.0,35.676907,10.0
2,1.0,-1.95,-0.37209484,0.0028,39.0,31.930555,0.0,4.0,2299.0,3183.0,1.0,37.209484,30.0
3,1.0,-2.5,-0.65471435,0.0139,50.0,68.24359,0.0,39.0,5323.0,3447.0,1.0,65.471436,30.0
4,1.0,-2.5,-0.67184013,0.0178,50.0,60.822224,0.0,128.0,5474.0,4133.0,1.0,67.18401,70.0
5,1.0,-2.5,-0.6608508,0.0177,50.0,59.844444,0.0,61.0,5386.0,4295.0,1.0,66.08508,10.0
6,1.0,-2.5,-0.6278404,0.0062,50.0,54.58889,0.0,16.0,4913.0,4326.0,1.0,62.784042,50.0
7,1.0,-2.5,-0.47682044,0.0047,50.0,32.61111,0.0,12.0,2935.0,4326.0,1.0,47.682045,70.0
8,1.0,-2.5,-0.6316851,0.0078,50.0,54.677776,0.0,21.0,4921.0,4326.0,1.0,63.168507,50.0
9,1.0,-2.5,-0.6460306,0.0082,50.0,57.077778,0.0,22.0,5137.0,4326.0,1.0,64.60306,50.0
10,1.0,-2.5,-0.663162,0.0176,50.0,59.91111,0.0,118.0,5392.0,4326.0,1.0,66.3162,90.0
11,1.0,-2.5,-0.67414045,0.018,50.0,60.177776,0.0,59.0,5416.0,4326.0,1.0,67.41405,90.0
12,1.0,-2.5,-0.67497706,0.0177,50.0,60.97778,0.0,56.0,5488.0,4326.0,1.0,67.4977,10.0
13,1.0,-2.5,-0.66738594,0.0179,50.0,60.27778,0.0,104.0,5425.0,4326.0,1.0,66.738594,10.0
14,1.0,-2.5,-0.6081687,0.0062,50.0,51.788887,0.0,16.0,4661.0,4327.0,1.0,60.81687,50.0
15,1.0,-2.5,-0.53516716,0.0044,50.0,41.233334,0.0,11.0,3711.0,4326.0,1.0,53.516716,10.0
16,1.0,-2.5,-0.66906303,0.0175,50.0,60.177776,0.0,75.0,5416.0,4326.0,1.0,66.9063,70.0
17,1.0,-2.5,-0.66407293,0.0175,50.0,59.533333,0.0,118.0,5358.0,4326.0,1.0,66.407295,50.0
18,1.0,-2.5,-0.6624773,0.0175,50.0,59.08889,0.0,116.0,5318.0,4326.0,1.0,66.247734,70.0
19,1.0,-2.5,-0.62592036,0.0075,50.0,54.377777,0.0,20.0,4894.0,4326.0,1.0,62.592037,90.0
20,1.0,-2.5,-0.6410612,0.0178,50.0,56.822224,0.0,110.0,5114.0,4326.0,1.0,64.10612,10.0
21,1.0,-2.5,-0.66732234,0.0175,50.0,60.366665,0.0,123.0,5433.0,4326.0,1.0,66.73223,50.0
22,1.0,-2.5,-0.6502791,0.0096,50.0,57.877777,0.0,26.0,5209.0,4326.0,1.0,65.02791,70.0
23,1.0,-2.5,-0.6659807,0.0177,50.0,60.344444,0.0,115.0,5431.0,4326.0,1.0,66.59807,50.0
24,1.0,-2.5,-0.49877498,0.0058,50.0,35.666668,0.0,15.0,3210.0,4327.0,1.0,49.8775,50.0
25,1.0,-2.5,-0.6703151,0.0179,50.0,60.577778,0.0,60.0,5452.0,4327.0,1.0,67.03151,70.0
26,1.0,-2.5,-0.44310832,0.0049,50.0,27.922222,0.0,13.0,2513.0,4326.0,1.0,44.310833,90.0
27,1.0,-2.5,-0.38180724,0.0029,50.0,18.866667,0.0,5.0,1698.0,4326.0,1.0,38.180725,90.0
28,1.0,-2.5,-0.38912115,0.0029,50.0,21.022223,0.0,5.0,1892.0,4326.0,1.0,38.912113,90.0
29,1.0,-2.5,-0.39759186,0.0027,50.0,21.288889,0.0,4.0,1916.0,4326.0,1.0,39.759186,90.0
30,1.0,-2.5,-0.38437366,0.0025,50.0,19.588888,0.0,3.0,1763.0,4326.0,1.0,38.437366,70.0
31,1.0,-1.7,-0.431795,0.0073,34.0,58.24138,0.0,19.0,3378.0,2789.0,1.0,43.1795,30.0
32,1.0,-2.2,-0.31420052,0.0024,44.0,14.784091,0.0,2.0,1301.0,4085.0,1.0,31.420053,10.0
33,1.0,-2.2,-0.32705575,0.0029,44.0,15.863636,0.0,5.0,1396.0,4087.0,1.0,32.705574,70.0
34,1.0,-2.2,-0.30412352,0.0025,44.0,12.625,0.0,3.0,1111.0,4089.0,1.0,30.412354,70.0
