timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
1,-0.020000037,-0.5,-0.40084812,0.0204,10.0,382.5,0.0,37.0,4590.0,556.0,1.0,40.084812,10.0
2,1.0,-1.65,-0.2696045,0.0028,33.0,22.166666,0.0,4.0,1463.0,2900.0,1.0,26.96045,30.0
3,1.0,-2.55,-0.7066847,0.0141,51.0,73.53658,0.0,39.0,6030.0,3611.0,1.0,70.66847,30.0
4,1.0,-2.55,-0.6728515,0.0177,51.0,61.955555,0.0,128.0,5576.0,4184.0,1.0,67.28515,70.0
5,1.0,-2.55,-0.66737175,0.0179,51.0,61.066666,0.0,61.0,5496.0,4243.0,1.0,66.737175,10.0
6,1.0,-2.55,-0.6115538,0.0062,51.0,52.88889,0.0,16.0,4760.0,4321.0,1.0,61.155376,50.0
7,1.0,-2.55,-0.5670348,0.0047,51.0,46.18889,0.0,12.0,4157.0,4323.0,1.0,56.70348,70.0
8,1.0,-2.55,-0.6384408,0.0078,51.0,56.5,0.0,21.0,5085.0,4322.0,1.0,63.844078,50.0
9,1.0,-2.55,-0.62874186,0.0083,51.0,54.88889,0.0,22.0,4940.0,4321.0,1.0,62.874187,50.0
10,1.0,-2.55,-0.648689,0.0177,51.0,58.3,0.0,118.0,5247.0,4320.0,1.0,64.8689,90.0
11,1.0,-2.55,-0.6564019,0.0181,51.0,59.966667,0.0,59.0,5397.0,4321.0,1.0,65.64019,90.0
12,1.0,-2.55,-0.6733069,0.0176,51.0,61.055557,0.0,56.0,5495.0,4322.0,1.0,67.33069,10.0
13,1.0,-2.55,-0.6660219,0.0178,51.0,60.38889,0.0,104.0,5435.0,4321.0,1.0,66.60219,10.0
14,1.0,-2.55,-0.53549105,0.0061,51.0,41.58889,0.0,16.0,3743.0,4323.0,1.0,53.549107,50.0
15,1.0,-2.55,-0.52713907,0.0044,51.0,40.033333,0.0,11.0,3603.0,4322.0,1.0,52.71391,10.0
16,1.0,-2.55,-0.6647899,0.0178,51.0,60.133335,0.0,75.0,5412.0,4323.0,1.0,66.47899,70.0
17,1.0,-2.55,-0.6579972,0.0177,51.0,59.455555,0.0,118.0,5351.0,4321.0,1.0,65.79972,50.0
