timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
1,1.0,-0.8,-0.08855713,0.0196,16.0,450.375,0.0,37.0,3603.0,385.0,1.0,8.855713,10.0
2,1.0,-1.35,-0.13806246,0.0027,27.0,30.75926,0.0,4.0,1661.0,2378.0,1.0,13.806247,30.0
3,1.0,-2.55,-0.26551026,0.0142,51.0,91.59259,0.0,39.0,4946.0,2414.0,1.0,26.551025,30.0
4,1.0,-2.55,-0.26657045,0.018,51.0,58.326088,0.0,128.0,5366.0,4238.0,1.0,26.657043,70.0
5,1.0,-2.55,-0.26679718,0.0179,51.0,58.619564,0.0,61.0,5393.0,4258.0,1.0,26.679718,10.0
6,1.0,-2.55,-0.27197373,0.0063,51.0,31.913044,0.0,16.0,2936.0,4426.0,1.0,27.197374,50.0
7,1.0,-2.55,-0.266775,0.0047,51.0,27.304348,0.0,12.0,2512.0,4427.0,1.0,26.6775,70.0
8,1.0,-2.55,-0.27528602,0.0079,51.0,51.130436,0.0,21.0,4704.0,4426.0,1.0,27.5286,50.0
9,1.0,-2.55,-0.27521607,0.0083,51.0,51.326088,0.0,22.0,4722.0,4427.0,1.0,27.521606,50.0
10,1.0,-2.55,-0.41217327,0.0182,51.0,55.054348,0.0,118.0,5065.0,4427.0,1.0,41.217327,90.0
11,1.0,-2.55,-0.31116876,0.0184,51.0,56.79348,0.0,59.0,5225.0,4426.0,1.0,31.116875,90.0
12,1.0,-2.55,-0.27192098,0.0181,51.0,57.141304,0.0,56.0,5257.0,4428.0,1.0,27.192097,10.0
13,1.0,-2.55,-0.27639803,0.018,51.0,56.815216,0.0,104.0,5227.0,4426.0,1.0,27.639803,10.0
14,1.0,-2.55,-0.27028406,0.0061,51.0,50.630436,0.0,16.0,4658.0,4427.0,1.0,27.028406,50.0
15,1.0,-2.55,-0.27411875,0.0044,51.0,43.75,0.0,11.0,4025.0,4428.0,1.0,27.411875,10.0
16,1.0,-2.55,-0.2733505,0.0182,51.0,59.652172,0.0,75.0,5488.0,4426.0,1.0,27.33505,70.0
17,1.0,-2.55,-0.276609,0.018,51.0,59.652172,0.0,118.0,5488.0,4427.0,1.0,27.6609,50.0
18,1.0,-2.55,-0.3110925,0.0179,51.0,60.217392,0.0,116.0,5540.0,4427.0,1.0,31.10925,70.0
19,1.0,-2.55,-0.282477,0.0077,51.0,55.565216,0.0,20.0,5112.0,4428.0,1.0,28.2477,90.0
20,1.0,-2.55,-0.285444,0.0181,51.0,55.152172,0.0,110.0,5074.0,4427.0,1.0,28.5444,10.0
21,1.0,-2.55,-0.27773625,0.0182,51.0,56.086956,0.0,123.0,5160.0,4428.0,1.0,27.773624,50.0
22,1.0,-2.55,-0.28713638,0.0097,51.0,54.79348,0.0,26.0,5041.0,4427.0,1.0,28.713638,70.0
23,1.0,-2.55,-0.37136906,0.0181,51.0,58.239132,0.0,115.0,5358.0,4428.0,1.0,37.136906,50.0
24,1.0,-2.55,-0.28748354,0.0059,51.0,36.097828,0.0,15.0,3321.0,4428.0,1.0,28.748354,50.0
25,1.0,-2.55,-0.5820851,0.0178,51.0,58.673912,0.0,60.0,5398.0,4428.0,1.0,58.208508,70.0
26,1.0,-2.55,-0.27496064,0.0051,51.0,31.847826,0.0,13.0,2930.0,4428.0,1.0,27.496063,90.0
27,1.0,-2.55,-0.30923688,0.0029,51.0,24.5,0.0,5.0,2254.0,4429.0,1.0,30.923687,90.0
28,1.0,-2.55,-0.27925703,0.003,51.0,27.663044,0.0,5.0,2545.0,4428.0,1.0,27.925703,90.0
29,1.0,-2.55,-0.26619115,0.0027,51.0,24.793478,0.0,4.0,2281.0,4429.0,1.0,26.619116,90.0
30,1.0,-2.55,-0.26718253,0.0025,51.0,21.293478,0.0,3.0,1959.0,4428.0,1.0,26.718252,70.0
31,1.0,-1.95,-0.24253672,0.0073,39.0,54.935898,0.0,19.0,4285.0,3754.0,1.0,24.253672,30.0
32,1.0,-2.3,-0.23476817,0.0024,46.0,17.097826,0.0,2.0,1573.0,4355.0,1.0,23.476816,10.0
33,1.0,-2.3,-0.23333734,0.0029,46.0,17.858696,0.0,5.0,1643.0,4355.0,1.0,23.333735,70.0
34,1.0,-2.3,-0.23296624,0.0025,46.0,14.73913,0.0,3.0,1356.0,4355.0,1.0,23.296625,70.0
35,1.0,-2.3,-0.23313038,0.0027,46.0,13.782609,0.0,4.0,1268.0,4356.0,1.0,23.313038,90.0
36,1.0,-2.3,-0.23648618,0.0042,46.0,28.923914,0.0,10.0,2661.0,4355.0,1.0,23.648619,90.0
37,1.0,-1.4,-0.14498518,0.0034,28.0,34.32143,0.0,7.0,1922.0,2690.0,1.0,14.498519,50.0
38,1.0,-1.4,-0.14635938,0.0023,28.0,29.071428,0.0,2.0,1628.0,2692.0,1.0,14.635938,10.0
39,1.0,-2.3,-0.29381403,0.0074,46.0,87.44643,0.0,20.0,4897.0,2693.0,1.0,29.381403,30.0
40,1.0,-2.3,-0.4082748,0.0173,46.0,91.44643,0.0,64.0,5121.0,2692.0,1.0,40.82748,90.0
41,1.0,-2.55,-0.283242,0.0071,51.0,69.22059,0.0,18.0,4707.0,3209.0,1.0,28.3242,70.0
42,1.0,-2.55,-0.28388646,0.0178,51.0,75.10294,0.0,99.0,5107.0,3237.0,1.0,28.388647,30.0
43,1.0,-2.55,-0.28372476,0.018,51.0,75.94118,0.0,127.0,5164.0,3268.0,1.0,28.372475,10.0
44,1.0,-2.55,-0.34381238,0.0179,51.0,74.10294,0.0,139.0,5039.0,3270.0,1.0,34.381237,50.0
45,1.0,-2.55,-0.27410665,0.0182,51.0,72.185715,0.0,130.0,5053.0,3356.0,1.0,27.410666,70.0
46,1.0,-2.55,-0.28969127,0.0181,51.0,72.08572,0.0,133.0,5046.0,3354.0,1.0,28.969126,30.0
47,1.0,-2.55,-0.2847005,0.0179,51.0,71.08572,0.0,123.0,4976.0,3363.0,1.0,28.47005,10.0
48,1.0,-2.55,-0.33396938,0.0178,51.0,71.48572,0.0,127.0,5004.0,3364.0,1.0,33.39694,70.0
49,1.0,-2.55,-0.2722528,0.0179,51.0,73.02778,0.0,132.0,5258.0,3452.0,1.0,27.22528,90.0
50,1.0,-2.55,-0.29841602,0.0177,51.0,72.0,0.0,130.0,5184.0,3457.0,1.0,29.8416,90.0
51,1.0,-2.55,-0.26946223,0.0177,51.0,71.067566,0.0,146.0,5259.0,3549.0,1.0,26.946224,90.0
52,1.0,-2.55,-0.26668683,0.0176,51.0,69.22973,0.0,141.0,5123.0,3550.0,1.0,26.668684,30.0
53,1.0,-2.55,-0.279955,0.0178,51.0,69.62162,0.0,131.0,5152.0,3559.0,1.0,27.9955,90.0
54,1.0,-2.55,-0.28289983,0.0176,51.0,69.33784,0.0,131.0,5131.0,3560.0,1.0,28.289982,30.0
55,1.0,-2.55,-0.27911183,0.0182,51.0,68.14865,0.0,132.0,5043.0,3559.0,1.0,27.911184,70.0
56,1.0,-2.55,-0.37451017,0.0179,51.0,68.0921,0.0,147.0,5175.0,3647.0,1.0,37.451015,90.0
57,1.0,-2.55,-0.2693581,0.0176,51.0,66.43421,0.0,166.0,5049.0,3646.0,1.0,26.93581,70.0
58,1.0,-2.55,-0.26561013,0.0179,51.0,65.697365,0.0,141.0,4993.0,3657.0,1.0,26.561012,50.0
59,1.0,-2.55,-0.28153062,0.0182,51.0,65.710526,0.0,159.0,4994.0,3656.0,1.0,28.153063,70.0
60,1.0,-2.55,-0.28316814,0.0182,51.0,65.52631,0.0,160.0,4980.0,3656.0,1.0,28.316813,10.0
61,1.0,-2.55,-0.27896687,0.018,51.0,65.10526,0.0,164.0,4948.0,3655.0,1.0,27.896687,30.0
62,1.0,-2.55,-0.47281465,0.0179,51.0,64.22369,0.0,138.0,4881.0,3655.0,1.0,47.281464,50.0
63,1.0,-2.55,-0.26828,0.0177,51.0,65.64103,0.0,150.0,5120.0,3741.0,1.0,26.828,10.0
64,1.0,-2.55,-0.26890674,0.0177,51.0,64.833336,0.0,138.0,5057.0,3752.0,1.0,26.890675,10.0
65,1.0,-2.55,-0.26972887,0.018,51.0,64.97436,0.0,145.0,5068.0,3751.0,1.0,26.972887,90.0
66,1.0,-2.55,-0.26737761,0.0179,51.0,65.10256,0.0,131.0,5078.0,3753.0,1.0,26.737762,30.0
67,1.0,-2.55,-0.29852438,0.0177,51.0,64.23077,0.0,128.0,5010.0,3752.0,1.0,29.852438,90.0
68,1.0,-2.55,-0.28853112,0.0178,51.0,64.28205,0.0,149.0,5014.0,3751.0,1.0,28.853113,10.0
69,1.0,-2.55,-0.28585708,0.0179,51.0,63.935898,0.0,128.0,4987.0,3754.0,1.0,28.585707,30.0
70,1.0,-2.55,-0.42848235,0.0179,51.0,63.320515,0.0,130.0,4939.0,3752.0,1.0,42.848236,90.0
